addr,rooms,ruler,floor,price,descr,lat,lon
Keri street 35,2 room,108 m2," floor 11/18 , new construction "," Sale - 185,000 $ "," One - bedroom apartment on Qeri street is currently for sale. It covers an area of 108 sq.m. and occupies the 11th floor of a new residential 18 storey building. A nice view towards mountain Masis can be observed from the apartment. The apartment is renovated. It's furnished and equipped with the necessary appliances. Local heating system and air conditioner are installed. The building has a nice yard, a security worker, a playground, a gym and a swimming pool. The service fee of the building is 37000 AMD. ",40.19947046,44.48593693
Azatutyan ave.,2 room,67 m2, floor 9/9 ," Sale - 85,000 $ "," Two - bedroom, one-bathroom apartment on Azatutyan avenue is currently for sale. It covers an area of 67 sq.m. and occupies the 9th floor of a 9-story building. The apartment is renovated. Local heating system is installed alongside with an air conditioner. The height of ceiling is 2.75 sq.m. Supermarket ""Nor Zovk"", bank branches and the bus stop are located nearby. ",40.20433364,44.52359988
A. Tigranyan,4 room,120 m2, floor 7/9 ," Sale - 124,000 $ "," Three - bedroom, one-bathroom apartment on Tigranyan - Azatutyan crossroads is currently for sale. It covers an area of 104 sq.m. and occupies the 7th floor of a 9-story building. The apartment is renovated. Local heating system is installed. The height of ceiling is 2.75 m. There are also a storage space and an enclosed balcony in the apartment. The building also has a playground. Supermarket ""Nor Zovk"", park ""Haghtanak"" and the bus stop are located nearby. ",40.20090932,44.52394271
Komitas ave. 36գ,4 room,94 m2, floor 3/9 ," Sale - 114,000 $ "," Three - bedroom, one-bathroom apartment on Komitas avenue is for sale. It covers an area of 94 sqm and occupies the 3rd floor of a 9-story building. The apartment is sunny and has an open balcony to the east. Local heating system is installed alongside with an air conditioner. One of the bedrooms is completely renovated. The kitchen is furnished. A couple of schools, a kindergarten, the ""Yeritsyan and Sons"" supermarket and the ""Rio mall"" are located nearby. The apartment is for sale with the kitchen furniture only and home appliances. ",40.205123,44.505117
Sayat-Nova ave.,4 room,262 m2," floor 6/17 , new construction ", Sale - on request ," For sale is a 3-bedroom, 2-bathroom spacious apartment with an area of 262 sqm on the 6th floor of a 17-story new monolithic building on Sayat-Nova Avenue. The apartment is completely renovated, tastefully furnished and equipped with the necessary appliances. Local heating and air conditioning systems are installed, the floor is covered with high-quality Vietnamese parquet and heated tiles, panoramic windows are installed, both bathrooms are tiled and equipped with plumbing fixtures. One of the bedrooms has been converted and now is used as a recreation room with a billiard table and built-in closets. The apartment has a dressing room and 2 open balconies. The house has 24-hour security, 2 elevators and underground parking. Sold with furniture. ",40.18042755,44.52221236
Azatutyan ave.,3 room,106 m2, floor 1/4 ," Sale - 150,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 106 sqm on the 1st floor of a 4-story special project building at the intersection of Azatutyan Avenue and Babayan Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with parquet and tiles. The bathroom is lined with European tiles and equipped with high-quality plumbing. The apartment is provided with high-quality furniture and household appliances. There is a closet. A stone garage sold for an additional fee. Nearby there are shops, a school, cafes and transport stops. Sold with furniture and appliances. ",40.20181,44.522715
Charents,5 room,310 m2," floor 11/11 , new construction "," Sale - 500,000 $ "," 4 - bedroom, 4-bathroom penthouse on Charents street, next to the Yerevan State University is currently for sale or for rent. It covers an area of 309.5 sq.m. and occupies the 10th and 11th floors of a 11-story new building. The apartment is newly renovated. One of the peculiarities of the 11th floor is the height of the ceiling, which is 7 meters. Centralized heating system is installed along with an air conditioner. The bathrooms are equipped with sanitary ware, two of the bedrooms have their own bathrooms and wardrobes. The floor is covered with wide oak parquet. The apartment has an open balcony, a spacious terrace with a wonderful view of Mount Ararat and the whole city. The building has an underground parking spot. Security system is installed. ",40.176354,44.527342
Mashtots avenue,2 room,40 m2, floor 4/4 ," Sale - 82,000 $ "," For sale or for rent is a 2-bedroom, 1-bathroom apartment with an area of 40 sqm on the 4th floor of a 4-story stone building on Mashtots Avenue. The apartment is completely renovated, air conditioning is installed, the floor is covered with laminate. The bathroom is tiled and equipped with plumbing fixtures. There is an open balcony. Nearby there are shops, banks, entertainment venues and a transport stop. The cost is $600-1200 per month, or $40-65 per day. ",40.1850924,44.51223127
E.Hasratyan 80,1 room,35 m2," floor 2/5 , new construction "," Sale - 34,000 $ "," For sale is a 1-room apartment with an area of 35 sqm on the 2nd floor of a new 5-storey building under construction on Hasratyan Street in Kanaker-Zeitoun. On the 1st floor of the building there is a commercial area, the apartments are located from the 2nd floor. On the roof of the building there will be a landscaped area for recreation and entertainment and a playground. The renovation of the apartment continues. The apartment will be put into operation with major repairs, the cost of which is included in the price. All the necessary documents for the transaction are ready. We offer 1, 2, 3, 4-room apartments with an area starting from 34.9 sqm. Apartments can be purchased with a mortgage. ",40.21717434,44.53709319
E.Hasratyan 80,2 room,40 m2," floor 2/5 , new construction "," Sale - 42,000 $ "," For sale is a 2-room apartment with an area of 40 sqm on the 2nd floor of a new 5-storey building under construction on Hasratyan Street in Kanaker-Zeitoun. On the 1st floor of the building there is a commercial area, the apartments are located from the 2nd floor. On the roof of the building there will be a landscaped area for recreation and entertainment and a playground. The renovation of the apartment continues. The apartment will be put into operation with major repairs, the cost of which is included in the price. All the necessary documents for the transaction are ready. We offer 1, 2, 3, 4-room apartments with an area starting from 34.9 sqm. Apartments can be purchased with a mortgage. ",40.217162,44.537061
E.Hasratyan 80,2 room,43 m2," floor 3/5 , new construction "," Sale - 41,000 $ "," For sale is a 2-room apartment with an area of 43 sqm on the 3rd floor of a new 5-story building under construction on Hasratyan Street in Kanaker-Zeitoun. On the 1st floor of the building there is a commercial area, the apartments are located from the 2nd floor. On the roof of the building there will be a landscaped area for recreation and entertainment and a playground. The renovation of the apartment continues. The apartment will be put into operation with major repairs, the cost of which is included in the price. All the necessary documents for the transaction are ready. We offer 1, 2, 3, 4-room apartments with an area starting from 34.9 sqm. Apartments can be purchased with a mortgage. ",40.217162,44.537061
E.Hasratyan 80,3 room,67 m2," floor 3/5 , new construction "," Sale - 70,000 $ "," For sale is a 3-room apartment with an area of 67 sqm on the 3rd floor of a new 5-story building under construction on Hasratyan Street in Kanaker-Zeitoun. On the 1st floor of the building there is a commercial area, the apartments are located from the 2nd floor. On the roof of the building there will be a landscaped area for recreation and entertainment and a playground. The renovation of the apartment continues. The apartment will be put into operation with major repairs, the cost of which is included in the price. All the necessary documents for the transaction are ready. We offer 1, 2, 3, 4-room apartments with an area starting from 34.9 sqm. Apartments can be purchased with a mortgage. ",40.217162,44.537061
Koryun 7/1,3 room,67 m2, floor 8/9 ," Sale - 125,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 67 sqm on the 8th floor of a 9-story monolithic building in the center of Yerevan, on Koryun Street. The apartment has been completely renovated, a local heating system has been installed, the floor is covered with carpet parquet and heated tiles, the kitchen and both bathrooms are tiled and equipped with plumbing. The rooms and kitchen are beautifully furnished. The building has an uninterrupted elevator. Nearby there are shops, banks, Yeritasardakan metro station, entertainment venues. ",40.187219,44.524341
Vardanants,2 room,62 m2, floor 3/5 ," Sale - 185,000 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 62 sqm on the 3rd floor of a 5-story stone building of the Stalin-era project on Vardanants Street, next to the Vernissage. The ceiling height is 3.20 m., there is a closed balcony. The apartment is renovated, the rooms are furnished with high-quality furniture and equipped with household appliances. Individual heating and air conditioning systems are installed, the floor is covered with carpet parquet, both bathrooms and kitchen are lined with European tiles and equipped with plumbing fixtures. There is a playground in the yard. Nearby there are shops, banks, a school, transport stops and entertainment venues. Sold with furniture and appliances. ",40.17574,44.520209
Charents,4 room,180 m2, floor 4/4 ," Sale - 350,000 $ "," For sale or rent is a 3-bedroom, 3-bathroom duplex apartment with an area of 180 sqm on 4th and 5th floors of a 4-story stone building on Charents Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality hardwood, laminate and tile. Bathrooms and kitchen are tiled and equipped with plumbing. The apartment is furnished with modern furniture, equipped with high-quality appliances, bedding, dishes. There is internet and cable TV. On the 1st floor there is a kitchen, a living room and a bathroom, on the 2nd floor there are 3 bedrooms, 2 bathrooms, there is a Jacuzzi, a dressing room, 2 open balconies and a spacious terrace with a beautiful view. Nearby there are shops, banks, entertainment venues. Sold with furniture and appliances. ",40.18356988,44.52705059
M. Avetisyan 2-nd,3 room,54 m2, floor 3/4 ," Sale - 56,500 $ "," For sale is а 2-bedroom, 1-bathroom apartment with an area of 54 sqm on the 3rd floor of a 4-story building on the 2nd Street of Minas Avetisyan. The apartment is completely renovated, not inhabited, a local heating system is installed, the floor is covered with high-quality laminate. The bathroom is tiled and equipped with plumbing. Nearby there are shops, a school and a transport stop. ",40.20665081,44.54008112
Hr. Kochar,4 room,94 m2, floor 2/5 ," Sale - 120,000 $ "," For sale is a chic 3-bedroom, 2-half-bathroom apartment with an area of 94 sqm on the 2nd floor of a 5-story building of the Czech project at the intersection of the Hr. Kochar and Gulbenkian streets. The apartment has been completely renovated using exclusively high-quality building materials, local heating and air conditioning systems have been installed, the floor is covered with high-quality parquet and tiles, bathrooms are lined with European tiles and equipped with plumbing fixtures. All rooms and kitchen are beautifully furnished and equipped with modern appliances and accessories. The interior doors are wooden, there are built-in closets and an open balcony. The apartment has a security system installed. There is an intercom in the building. It is possible to sell furniture with an additional fee. Nearby there are banks, Barekamutyun metro station, a school, a kindergarten, shops and transport stops. ",40.19871,44.495937
Mamikonyants,4 room,116 m2," floor 16/16 , new construction "," Sale - 109,000 $ "," For sale a 4-room apartment with an area of 116 sq.m. on the 16th floor of a 16-storey building under construction on Mamikonyants Street in Arabkir. According to the plan, there will be a living room, a kitchen, 3 bedrooms, 2 bathrooms and 2 open balconies. The apartment will be commissioned in 2023 in zero condition: the rooms will be divided, plastered, leveled and windows with double-glazed windows installed. It is possible to sell renovated for an additional fee. There is an underground parking for $8000. The house will have 2 elevators and a security system. The yard will be landscaped. ",40.20992984,44.51258056
Davtashen 4-th distr.,4 room,100 m2, floor 2/14 ," Sale - 93,000 $ "," For sale is a 3-bedroom, 2-bathroom apartment with an area of 100 sqm on the 2nd floor of a 14-story building designed by Academician Badalyan in the 4th quarter of Davtashen. The apartment has been completely renovated, a local heating system has been installed, the floor is covered with carpet parquet and tiles. Both bathrooms and the kitchen are lined with European tiles and equipped with high-quality plumbing. The apartment is furnished and equipped with modern household appliances. There is an open balcony. The building has 2 elevators and an intercom. supermarkets ""Yerevan City"",“Nor Zovk,” ""Tsiran” supermarkets, shops, Reebok sports club, school, recreation and entertainment places are located nearby. ",40.22076502,44.49624231
Nalbandyan,2 room,47 m2, floor 10/10 ," Sale - 85,000 $ "," For sale is a bright 1-bedroom, 1-bathroom apartment with an area of 47 sqm on the 10th floor of a 10-story panel building on Nalbandian Street. The apartment is completely renovated, not inhabited. An individual heating system is installed, the floor is covered with high-quality press granite, the bathroom is lined with European tiles and equipped with plumbing fixtures. The kitchen is being furnished. The building has an uninterrupted elevator. Nearby there are shops, a school, banks and transport stops. ",40.18030144,44.5192533
"V.Hambardzumyan 8/1, apt. 94",2 room,64 m2, floor 5/9 ," Sale - 68,000 $ "," For sale is a 1-bedroom, 1-bathroom bright apartment on Victor Hambartsumyan street, on the 5th floor of a 9-storey panel house. The apartment is in state condition, the floor is covered with hardwood, the bathroom is partially tiled. There is an outdoor balcony. Near the house there are shops, entertainment venues, a school, a kindergarten. ",40.196795,44.499943
Teryan,4 room,260 m2," floor 5/12 , new construction "," Sale - 1,200,000 $ "," For sale or for long-term rent is a 3-bedroom, 3-bathroom spacious, luxurious apartment of 260 sqm on the 5th floor of a 12-story new monolithic building at the intersection of Teryan and Isaakyan Streets. The apartment has been completely renovated using high-quality materials, central heating and ventilation are installed, the floor is covered with high-quality hardwood. 3 bathrooms are lined with high-quality tiles and equipped with plumbing. There is a dressing room, built-in closets, 4 open balconies. There is a 24-hour security in the building. Nearby there are shops, banks and entertainment venues. ",40.18825214,44.52133268
N.Tigranyan,2 room,55 m2," floor 7/12 , new construction "," Sale - 70,000 $ "," For sale is a 2-room apartment in zero condition with an area of 55 sqm on the 7th floor of a 12-story new monolithic building on N. Tigranyan Street in the Ani quarter. The windows are installed, communications are carried out, electric wires and water pipes are laid. The partition walls are erected, leveled and plastered. An individual heating system is provided. There is an open balcony with a beautiful view. The building has 2 elevators and a security system. In well-maintained yard there is a parking space, a playground and a football field. Nearby there are shops, a school, entertainment venues and transport stops. ",40.2048744,44.5199251
Northern av.,5 room,256 m2," floor 4/9 , new construction "," Sale - 985,000 $ "," Four - bedroom spacious and comfortable apartment on the Northern avenue is currently for sale. It covers an area of 256 sq.m. and occupies the 4th floor of a new residential 9 storey building. The apartment is renovated. The apartment has a living room, a separate kitchen, 4 bedrooms, 3 bathrooms, 3 open balconies and 2 closets. The height of the ceilings is 3.1 meters. Centralized heating system and air conditioners are installed. Underground parking is provided. A sale alongside with the furniture and appliances is possible. The Opera, the Republic Square, many cultural sites, shops, cafes and restaurants are located nearby. ",40.18282719,44.51434233
V.Papazyan,4 room,210 m2," floor 12/12 , new construction "," Sale - 389,000 $ "," For sale is a penthouse in a new building near Antarain Street, near the intersection of Saralanj and Papazyan streets, on the 12th floor of a 12-story new building with an area of 210 sq. m. + 210 sq. m. roof terraces. The balconies and terraces offer a wonderful panorama of the entire city. The apartment is fully renovated, furnished with high-quality modern furniture. The apartment consists of an entrance hall, a spacious living room, an open kitchen, 3 bedrooms, 3 bathrooms (one of which is adjacent to a bedroom), a laundry room, two open balconies and a large terrace. The apartment has access to the roof, which can serve as a terrace of 210 sq. m. The building has 2 entrances, there is an elevator working from the parking lot to the terrace. Parking is available at an additional cost. There is a 24-hour security service. The service fee is 15,000 AMD. ",40.19955318,44.5050415
Komitas ave.,1 room,38 m2, floor 4/4 ," Sale - 62,000 $ "," For sale is а 1-bedroom, 1-bathroom apartment with an area of 38 sqm on the 4th floor of a 4-story stone building of the Stalin project at the intersection of Komitas Avenue and Gulbenkian Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with laminate. The bathroom is tiled and equipped with plumbing. There is an open balcony. The apartment is furnished and equipped with household appliances. Nearby there are shops, banks and entertainment venues. ",40.20201404,44.49579654
Argishti,4 room,151 m2," floor 11/16 , new construction "," Sale - 280,000 $ "," For sale or for long-term rent is a spacious apartment with three-side lighting on Argishti Street, near Republic Square, on the 11th floor of a 16-story new building. The total area of the apartment is 151 sqm, it has been completely renovated with the help of a designer, furnished with expensive furniture, equipped with high-quality appliances and accessories. Floor-to-ceiling panoramic windows and a local heating system with remote control, 2 air conditioners are installed, the floor is covered with heated press granite. Both bathrooms are tiled and equipped with high-quality plumbing, there is a laundry room, a dressing room with built-in wardrobes and an open balcony with a beautiful view of the gorge. Mattresses are of high-quality production. The apartment is provided with an individual security system. The house has 2 elevators, 24/7 security, cleaning service. ",40.17434375,44.50174279
Davtashen 1-st distr.,3 room,91 m2, floor 3/9 ," Sale - 79,000 $ "," For sale is a 2-bedroom, 2-half-bathroom apartment with an area of 91 sqm on the 3rd floor of a 9-story building in the 1st quarter of Davtashen, near the ""Yerevan City"" supermarket. The apartment is completely renovated, the floor is covered with carpet parquet and tiles, the bathrooms are tiled and equipped with plumbing fixtures. The apartment is furnished with high-quality furniture and equipped with household appliances. There are built-in closets and 2 balconies: open and closed. There is an elevator in the house. There is a playground in the yard. Nearby there are banks, a school, a kindergarten, shops and transport stops. Sale is possible with furniture and / or garage for an additional price. ",40.2196086,44.49031738
Komitas ave.,3 room,70 m2, floor 7/9 ," Sale - 89,000 $ "," For sale or for rent is a 2-bedroom, 1-bathroom bright apartment with an area of 70 sqm on the 7th floor of a 9-story panel building at the intersection of Komitas Avenue and Papazyan Street. The apartment is completely renovated, not inhabited, an individual heating system is installed, the floor is covered with high-quality laminate. The bathroom is lined with European tiles and equipped with plumbing fixtures. The apartment is furnished with modern furniture and equipped with household appliances. There is no garbage disposal in the house, a new elevator is installed. There are various shops and entertainment venues nearby. The apartment is sold with furniture and appliances. ",40.20450327,44.50159345
Komitas ave.,2 room,56 m2, floor 2/5 ," Sale - 85,000 $ "," For sale or for rent is a 1-bedroom, 1-bathroom apartment with an area of 56 sqm on the 2nd floor of a 5-story stone building of the Stalin-era project on Komitas Avenue, next to the supermarket ""SAS"". The apartment is completely renovated, not inhabited, with a two-sided view, modernly furnished and equipped with household appliances, the floor is covered with laminate, heating and cooling is carried out by air conditioning. The kitchen and bathroom are lined with European tiles and equipped with plumbing fixtures. There is an open balcony. There are shops, banks and transport stops nearby. Sold with furniture and appliances. ",40.2064191,44.515474
V.Papazyan,2 room,40 m2, floor 4/5 ," Sale - 65,000 $ "," For sale is a 1-bedroom, 1-bathroom bright apartment with an area of 40 sqm on the 4th floor of a 5-story stone building of a special project on Papazyan Street near the Yeritsyan supermarket. The apartment is completely renovated, not inhabited, a local heating system is installed, the floor is covered with high-quality laminate. The bathroom is lined with European tiles and equipped with plumbing. There is an open balcony. There are shops, banks and transport stops nearby. ",40.20601266,44.50074664
Northern av.,5 room,210 m2," floor 9/7 , new construction "," Sale - 420,000 $ "," For sale is a 4-bedroom, 3-bathroom spacious, bright duplex apartment with an area of 210 sqm on the 8th and 9th floors of a 7-story new building on the Northern Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with laminate and heated tiles, 3 bathrooms are lined with European tiles and equipped with high-quality plumbing. There are open balconies with beautiful views of the city. The apartment is furnished with high-quality furniture. The building has an elevator and a security system. Nearby there are shops, banks, schools, cafes and entertainment venues. Sold with furniture and appliances. ",40.18198111,44.51444134
"Antarayin 190, apt. 18",4 room,140 m2, floor 3/6 ," Sale - 199,000 $ "," Three - bedroom sunny apartment on Antarayin street is currently for sale. It covers an area of 140 sq.m. and occupies the 3rd floor of a 6 storey building. The apartment is in normal conditions, it may need a slight cosmetic renovation. The apartment has 2 open and 1 close balconies. The building has an elevator. ",40.19409943,44.50600052
Leo,3 room,212 m2," floor 18/18 , new construction "," Sale - 1,500,000 $ "," For sale is a luxury penthouse with an area of 212 sqm on the 18th floor of an 18-story new building on Leo Street. The house has an impressive view of the city from 3 sides. The renovation is made using only high-quality materials, the interior is decorated with taste, every detail is carefully selected, all the furniture and equipment are expensive Italian production. The rooms and the kitchen are furnished with oak furniture, the interior doors are also made of oak. It consists of a spacious living room, a dining room, a kitchen, a study and a master bedroom with a separate bathroom and a dressing room. There is also a sauna, a laundry room and a shared bathroom. Both bathrooms are lined with tiles and equipped with plumbing fixtures. The floor in the rooms is covered with pressed granite, some parts are insulated. Heating and cooling is carried out by a centralized system. There is a spacious terrace with a wonderful view. The house has 2 elevators, there is a security system. The elevator to the 18th floor works only for this apartment. There is а parking for 2 cars. It is sold with all furniture, equipment and expensive handmade Megerian carpets. ",40.18086788,44.50421114
Buzand,2 room,51 m2," floor 14/18 , new construction "," Sale - 150,000 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 51 sqm on the 14th floor of an 18-story new monolithic building on Buzand Street, near Malibu Park. The apartment has been completely renovated, a local heating system and double-glazed windows have been installed. The bathroom is lined with European tiles. There is an open balcony with a beautiful view. The house has 2 elevators, there is a security system. There are many shops nearby, a beautiful park, banks and entertainment venues. Parking is available for an additional fee. ",40.18160571,44.50912395
Buzand,4 room,107 m2," floor 14/18 , new construction "," Sale - 310,000 $ "," For sale is a 3-bedroom, 2-bathroom apartment with a three-sided view on Buzand Street, near Malibu Park, with an area of 107 sqm on the 14th floor of an 18-story new monolithic building. The apartment has been completely renovated, a local heating system is installed. Both bathrooms are lined with European tiles. There is an open balcony. The house has 2 elevators, there is a security system. There are many shops nearby, a beautiful park, banks and entertainment venues. Parking is available for an additional fee. ",40.18156457,44.50905958
Bashinjaghyan 1-st bck.,2 room,60 m2, floor 2/5 ," Sale - 55,000 $ "," For sale is a 1-bedroom, 2-half-bathroom apartment with an area of 60 sqm on the 2nd floor of a 5-story panel building on Bashinjagyan Street. The apartment has been completely renovated, a local heating system has been installed, the floor is covered with laminate and tiles. The apartment is provided with furniture and appliances. Both bathrooms are lined with high-quality tiles and equipped with plumbing fixtures. There is a parking space in the courtyard. Nearby there are shops, a school, a kindergarten and transport stops. ",40.20189423,44.46641928
Pushkin,1 room,47 m2, floor 8/9 ," Sale - 104,000 $ "," For sale is a 1-bedroom, 2-half-bathroom apartment with an area of 47 sqm on the 8th floor of a 9-story building on Pushkin Street, near the Northern Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate and tiles. Both bathrooms are tiled and equipped with high-quality plumbing. The apartment is provided with furniture and appliances. The building has an intercom and an elevator. Nearby there are shops, banks, schools, cafes and entertainment venues. Sold with furniture and appliances. ",40.18260182,44.51311558
Nalbandyan,1 room,44 m2, floor 8/9 ," Sale - 74,500 $ "," For sale is a 1-bedroom, 1-bathroom sunny studio apartment with an area of 44 sqm on the 8th floor of a 9-story building on the 2nd line, near Sakharov Square. The apartment needs renovation, the floor is covered with parquet. There is an open balcony with a beautiful view. Nearby there are shops, banks, schools, cafes and entertainment venues. ",40.18004223,44.51925867
Y.Kochar,3 room,50 m2, floor 3/9 , Sale - 1 $ ," For sale is a 2-bedroom, 1-bathroom apartment with an area of 50 sqm on the 3rd floor of a 9-story panel building on E. Kochar Street. The apartment is completely renovated, not inhabited, a local heating system is installed, the floor is covered with press granite and high-quality laminate. The kitchen is furnished in a modern style and equipped with new appliances. The bathroom is lined with Spanish tiles and equipped with plumbing fixtures. The building has a new elevator. Nearby there are shops, a playground, a school and transport stops. ",40.17004707,44.517927
Acharyan,4 room,93 m2, floor 5/9 ," Sale - 84,000 $ "," For sale is a 3-bedroom, 1-bathroom apartment with an area of 93 sqm on the 5th floor of a 9-story building on Acharyan Street. The apartment is partially renovated, a local heating system is installed, the floor is covered with parquet and laminate. The bathroom is tiled and equipped with plumbing. The rooms are furnished and equipped with household appliances. There is a closet. There is a playground in the courtyard. Nearby there are shops, banks, cafes, a park and entertainment venues. ",40.21590042,44.56269836
"Azatutyan ave. 7բ, apt. 31",3 room,117 m2, floor 2/5 ," Sale - 95,000 $ "," The apartment's address is: 7""B"" Azatutyan Avenue, Apt. 31. It is located in a quiet and tranquil surrounding, on the 2-nd floor of a 5-storey building. The total area of the apartment is 116.4 sqm.The building is located at some 15-20 meter distance from the Azatutyan Avenue, very close to the “Nor Zovk” Supermarket and “Urarty” household goods store, and is overlooking the avenue by its side wall. The building has been built according to a so-called ""special / cooperative"" design, the entrances of the building are situated in the front yard. The entrance door of the apartment is metallic, the height of the ceilings is 2.75 m. The apartment has double-sided lighting -- the external windows are overlooking both the front and back yards of the building, there are six windows on each side. The apartment has a medium renovation. It is heated by heaters installed in the radiators. There are two closed balconies, the area of the balcony overlooking the backyard has been increased. The State Cadaster-issued layout of the apartment is presented in the photos section. The apartment comes with a basement. There is also an option of buying a 28.5 sqm stone-made duly privatized garage with no cover in the rear yard of the same building, right under the rear balcony's windows, at an extremely affordable price. The apartment can be exchanged with a one-room apartment in Arabkir and/or Kanaker-Zeytun districts (the Azatutyan Ave - Komitas St surrounding areas) with the price difference covered by the apartment owner. I am ready to cooperate with real estate agencies -- your commission fee is included in the price. ",40.202457,44.520811
Northern av.,5 room,315 m2," floor 6/9 , new construction "," Sale - 1,500,000 $ "," For sale is a spacious 4-bedroom, 4-bathroom apartment with an area of 315 sqm on the 6th floor of a 9-story new monolithic building on Northern Avenue. The apartment has an expensive designer renovation, all rooms and a kitchen are furnished with high-quality furniture and equipped with high-quality appliances. Heating and cooling are carried out by a centralized system. The floor is covered with decorative pressed granite and parquet. All bathrooms are lined with European tiles and equipped with high-quality plumbing. There are 3 spacious open balconies with wonderful views. The building has a security system. Opera house, bank branches, numerous restaurants and cafes are located nearby. ",40.18170955,44.51485976
Teryan,1 room,33 m2, floor 2/5 ," Sale - 81,000 $ "," For sale or for rent is a 1-bedroom, 1-bathroom apartment with an area of 33 sqm on the 2nd floor of a 5-story stone building of the Stalin-era project on the first line of Teryan Street. The apartment is completely renovated, the floor is covered with parquet and tiles. Heating and cooling is provided by air conditioning. The bathroom is tiled and equipped with plumbing. The apartment is furnished and equipped with household appliances with a view of Teryan Street. Open parking is provided for cars. Entrance to the building is from the street. Nearby there are shops, cafes, the ""Yeritasardakan"" metro station, a school and transport stops. ",40.18602469,44.51799328
Tsarav Aghbyur,5 room,238 m2, floor 4/4 ," Sale - 470,000 $ "," For sale is a 3-bedroom, 3-bathroom comfortable apartment with an area of 238 sqm on the 4th floor of a 4-story stone building on Tsarav Ahpyur Street. The apartment is completely renovated, connected to the central heating system, a local air conditioning system is installed, the floor is covered with high-quality laminate. Both bathrooms, toilet and separate laundry room are tiled and equipped with high-quality plumbing. The apartment is provided with all amenities, there is an office with built-in shelves and 2 open balconies with a beautiful view. All rooms and kitchen are furnished in a modern style and equipped with household appliances. There is parking for 2 cars. In the well-kept courtyard there is a summer gazebo and a common area of 1150 sq.m Sold together with furniture and equipment. The price includes the cost of parking with an area of 52 sqm and ownership of 1/3 of the land plot of 1150 sqm. ",40.21780809,44.55499457
Charents 68,3 room,84 m2, floor 11/16 ," Sale - 95,000 $ "," Two-bedroom apartment with 84 sq.m. area is for sale on the 10th floor of a 16 storied residential building in Charents str. The entrance door is metallic, the windows are modern plastic ones, the floor is wooden. Water and gas are twenty-four hours, apartment is heating by a gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. There is a built-in wardrobes, cupboards in the kitchen and the hallway. All the necessary shops are nearby. ",40.17380393,44.52601058
Davtashen 2-nd distr.,3 room,115 m2," floor 13/13 , new construction "," Sale - 109,000 $ "," in situ concrete, not renovated, sunny, new wiring, new water tubes, metal door, euro windows, persistent water, electricity, elevator in the building, bathrooms: 2, bedrooms: 2 ",40.21722525,44.48439331
Teryan,2 room,45 m2, floor 3/5 ," Sale - 195,000 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 45 sqm on the 3rd floor of a 5-story building at the intersection of Teryan and Pushkin streets. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with parquet and tiles. The bathroom is tiled and equipped with high-quality plumbing, there is a Jacuzzi. The ceiling height is 3 m. There are 2 grand open balconies with a beautiful view. The apartment is comfortably furnished and equipped with household appliances. Nearby there are shops, banks, cafes and entertainment venues. Sold with furniture and appliances. ",40.18186314,44.512938
Mashtots avenue,3 room,90 m2, floor 4/4 ," Sale - 180,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 90 sqm on the 4th floor of a 4-story stone building of the Stalin-era project at the intersection of Mashtots Avenue and Pushkin Street. The apartment is in normal condition, a local heating system is installed, the floor is covered with parquet and tiles, both bathrooms are tiled and equipped with high-quality plumbing. There is an open balcony with a beautiful view. The ceiling height is 3.1 m. The apartment is comfortably furnished and equipped with household appliances. Nearby there are shops, banks, cafes and entertainment venues. Sold with kitchen furniture. ",40.1832653,44.51092727
Rostomi 29,3 room,108 m2," floor 11/15 , new construction "," Sale - 158,000 $ "," For sale is a 2-bedroom, 1-bathroom spacious, bright apartment with an area of 108 sqm on the 11th floor of a 15-story building on Rostom Street, near the shopping center “Tashir"" and a metro station. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality hardwood and tiles. The bathroom is lined with European tiles and equipped with high-quality plumbing. There are 2 open balconies with a beautiful panorama. The apartment is provided with furniture and appliances. The building has an underground parking for 2 cars, 2 elevators, a security system is installed. The yard is very well maintained, there is a playground. Nearby there are shops, banks, schools, cafes and entertainment venues. Sold with a piece of furniture. ",40.167368,44.518296
